County,variable,value
Accomack County,percent_rural,0.9166666666666666
Albemarle County,percent_rural,0
Alexandria city,percent_rural,0
Alleghany County,percent_rural,0.8333333333333334
Amelia County,percent_rural,0
Amherst County,percent_rural,0.1111111111111111
Appomattox County,percent_rural,0
Arlington County,percent_rural,0
Augusta County,percent_rural,0
Bath County,percent_rural,1
Bedford County,percent_rural,0.0625
Bland County,percent_rural,0
Botetourt County,percent_rural,0
Bristol city,percent_rural,0
Brunswick County,percent_rural,0.8
Buchanan County,percent_rural,1
Buckingham County,percent_rural,0
Buena Vista city,percent_rural,1
Campbell County,percent_rural,0.08333333333333333
Caroline County,percent_rural,0
Carroll County,percent_rural,0.5714285714285714
Charles City County,percent_rural,0
Charlotte County,percent_rural,1
Charlottesville city,percent_rural,0
Chesapeake city,percent_rural,0
Chesterfield County,percent_rural,0
Clarke County,percent_rural,0
Colonial Heights city,percent_rural,0
Covington city,percent_rural,1
Craig County,percent_rural,0
Culpeper County,percent_rural,0
Cumberland County,percent_rural,0.5
Danville city,percent_rural,0.0625
Dickenson County,percent_rural,0.75
Dinwiddie County,percent_rural,0.14285714285714285
Emporia city,percent_rural,1
Essex County,percent_rural,0
Fairfax city,percent_rural,0
Fairfax County,percent_rural,0.003875968992248062
Falls Church city,percent_rural,0
Fauquier County,percent_rural,0
Floyd County,percent_rural,0.3333333333333333
Fluvanna County,percent_rural,0
Franklin city,percent_rural,1
Franklin County,percent_rural,0
Frederick County,percent_rural,0
Fredericksburg city,percent_rural,0
Galax city,percent_rural,1
Giles County,percent_rural,0
Gloucester County,percent_rural,0
Goochland County,percent_rural,0.2
Grayson County,percent_rural,1
Greene County,percent_rural,0
Greensville County,percent_rural,1
Halifax County,percent_rural,1
Hampton city,percent_rural,0.029411764705882353
Hanover County,percent_rural,0
Harrisonburg city,percent_rural,0
Henrico County,percent_rural,0.015625
Henry County,percent_rural,0
Highland County,percent_rural,1
Hopewell city,percent_rural,0.14285714285714285
Isle of Wight County,percent_rural,0
James City County,percent_rural,0
King and Queen County,percent_rural,0
King George County,percent_rural,0.8
King William County,percent_rural,0
Lancaster County,percent_rural,0.75
Lee County,percent_rural,0.6666666666666666
Lexington city,percent_rural,1
Loudoun County,percent_rural,0
Louisa County,percent_rural,0.3333333333333333
Lunenburg County,percent_rural,0.3333333333333333
Lynchburg city,percent_rural,0
Madison County,percent_rural,0
Manassas city,percent_rural,0
Manassas Park city,percent_rural,0
Martinsville city,percent_rural,0
Mathews County,percent_rural,0
Mecklenburg County,percent_rural,1
Middlesex County,percent_rural,0.6
Montgomery County,percent_rural,0
Nelson County,percent_rural,0.3333333333333333
New Kent County,percent_rural,0
Newport News city,percent_rural,0
Norfolk city,percent_rural,0.012345679012345678
Northampton County,percent_rural,1
Northumberland County,percent_rural,0.75
Norton city,percent_rural,0
Nottoway County,percent_rural,0.25
Orange County,percent_rural,0.6
Page County,percent_rural,0.8
Patrick County,percent_rural,0
Petersburg city,percent_rural,0
Pittsylvania County,percent_rural,0.25
Poquoson city,percent_rural,0
Portsmouth city,percent_rural,0
Powhatan County,percent_rural,0
Prince Edward County,percent_rural,1
Prince George County,percent_rural,0
Prince William County,percent_rural,0.012048192771084338
Pulaski County,percent_rural,0.1
Radford city,percent_rural,0
Rappahannock County,percent_rural,0.5
Richmond city,percent_rural,0
Richmond County,percent_rural,1
Roanoke city,percent_rural,0
Roanoke County,percent_rural,0
Rockbridge County,percent_rural,1
Rockingham County,percent_rural,0
Russell County,percent_rural,0
Salem city,percent_rural,0
Scott County,percent_rural,0
Shenandoah County,percent_rural,0.6666666666666666
Smyth County,percent_rural,1
Southampton County,percent_rural,0.8
Spotsylvania County,percent_rural,0
Stafford County,percent_rural,0
Staunton city,percent_rural,0
Suffolk city,percent_rural,0
Surry County,percent_rural,0
Sussex County,percent_rural,0.4
Tazewell County,percent_rural,0.5454545454545454
Virginia Beach city,percent_rural,0.01
Warren County,percent_rural,0
Washington County,percent_rural,0
Waynesboro city,percent_rural,0
Westmoreland County,percent_rural,0.75
Williamsburg city,percent_rural,0
Winchester city,percent_rural,0
Wise County,percent_rural,0.5454545454545454
Wythe County,percent_rural,0.8333333333333334
York County,percent_rural,0
NA,percent_rural,NA
Accomack County,mean_ffu_housing_units_total,NaN
Albemarle County,mean_ffu_housing_units_total,4.306619310720063
Alexandria city,mean_ffu_housing_units_total,NaN
Alleghany County,mean_ffu_housing_units_total,-12.041032461580459
Amelia County,mean_ffu_housing_units_total,-8.325242718446603
Amherst County,mean_ffu_housing_units_total,NaN
Appomattox County,mean_ffu_housing_units_total,-10.145188799347014
Arlington County,mean_ffu_housing_units_total,NaN
Augusta County,mean_ffu_housing_units_total,NaN
Bath County,mean_ffu_housing_units_total,-3.4565217391304346
Bedford County,mean_ffu_housing_units_total,-6.0750808707762305
Bland County,mean_ffu_housing_units_total,-8.668785796105384
Botetourt County,mean_ffu_housing_units_total,-4.968046518444031
Bristol city,mean_ffu_housing_units_total,NaN
Brunswick County,mean_ffu_housing_units_total,-7.23859708913557
Buchanan County,mean_ffu_housing_units_total,NaN
Buckingham County,mean_ffu_housing_units_total,NaN
Buena Vista city,mean_ffu_housing_units_total,3.77027027027027
Campbell County,mean_ffu_housing_units_total,1.1849811145828815
Caroline County,mean_ffu_housing_units_total,NaN
Carroll County,mean_ffu_housing_units_total,-12.591357194275252
Charles City County,mean_ffu_housing_units_total,-1.215965965965966
Charlotte County,mean_ffu_housing_units_total,-10.564982047234345
Charlottesville city,mean_ffu_housing_units_total,NaN
Chesapeake city,mean_ffu_housing_units_total,4.353573397891898
Chesterfield County,mean_ffu_housing_units_total,1.1116014897545419
